TrendName,Type,KeyIngredients,ClaimedBenefit
Retinol Serum,Skincare,"Retinol,Hyaluronic Acid",Reduces wrinkles
Chia Detox,Diet,"Chia Seeds,Lemon","Detox,Weight Loss"
Apple Cider Vinegar,Diet,ACV,Weight Loss
Vitamin C Serum,Skincare,"Vitamin C,Aloe Vera",Brightens skin
Collagen Supplement,Supplement,"Collagen,Vitamin C",Anti-aging
Hyaluronic Acid Serum,Skincare,Hyaluronic Acid,Moisturizes skin
Keto Diet,Diet,"Eggs,Meat,Butter",Weight Loss
Green Tea Extract,Supplement,Green Tea,Boosts metabolism
Niacinamide Serum,Skincare,Niacinamide,Reduces pores
Protein Shake,Diet,"Whey,Milk",Muscle Gain
